"match_id","p1_id","p2_id","p1_fullname","p2_fullname","server","sets","games","points","rally_desc","rally_summary","p1_rally","p2_rally","p1_net_appearance","p2_net_appearance","highlights","p1_momentum","p2_momentum","L2","discard_point","notes","vid_second","end","point_duration","p1_points","p2_points","p1_games","p2_games","p1_sets","p2_sets","ace","smash","double_fault","backhand_winner","forehand_winner","forehand_error","backhand_error","1st_serve","2nd_serve","error","drop_shot","winner","lob","rally_length","rally_1-4","rally_5-8","rally_9","breakpoint","gamepoint","setpoint","matchpoint","pt_won_by","pressure_point","sides","serve1","serve2","serve3","serve4","serve5","point_end","date","round","time","court","surface","umpire","best_of","tournament_name","tournament_category","tournament_location","video_url","p1_hand","p2_hand","gender","final_score"
"LMN2025_012","oc_000","es_000","Owen Corey","Eli Stein","oc_000","0-0","0-0","0-0","1st serve to body; forehand crosscourt (deep); forehand down the middle (very deep); forehand down the middle (deep); forehand inside-out (deep); backhand crosscourt (very deep); forehand down the middle (deep); backhand crosscourt (deep); backhand slice/chip crosscourt (shallow); backhand inside-out (deep) approach shot, winner. (10-shot rally)","Eli Stein won the point on the 1st serve (to body) with a backhand winner (10-shot rally)","forehand down the middle (very deep); forehand inside-out (deep); forehand down the middle (deep); backhand slice/chip crosscourt (shallow)","forehand crosscourt (deep); forehand down the middle (deep); backhand crosscourt (very deep); backhand crosscourt (deep); backhand inside-out (deep) approach shot, winner.","False","False","True","0.4","0.6","True","False","","435.00000000000006","452.0","17","0","0","0","0","0","0","nan","nan","nan","es_000","nan","nan","nan","1st serve to body","","nan","nan","es_000","nan","10","False","False","True","nan","nan","nan","nan","es_000","nan","deuce","00:07:15","nan","nan","nan","nan","00:07:32","2025-09-27","R16","","-","Hard","-","3","Little Mo Nationals","B11","Austin, Texas","https://vimeo.com/1123010031/d2b717e0e1","R","R","M","6-3, 6-4"
"LMN2025_012","oc_000","es_000","Owen Corey","Eli Stein","oc_000","0-0","0-0","0-15","1st serve to body, fault (long). 2nd serve to body; forehand down the middle (deep); forehand crosscourt (deep) at baseline; forehand crosscourt (deep); forehand down the middle (shallow); backhand down the middle (deep); backhand down the middle (very deep); backhand crosscourt (shallow); backhand crosscourt (deep); backhand crosscourt (shallow); forehand down the middle (long), unforced error. (11-shot rally)","Owen Corey lost the point on the 2nd serve (to body) with a forehand error (11-shot rally)","forehand crosscourt (deep) at baseline; forehand down the middle (shallow); backhand down the middle (very deep); backhand crosscourt (deep); forehand down the middle (long), unforced error.","forehand down the middle (deep); forehand crosscourt (deep); backhand down the middle (deep); backhand crosscourt (shallow); backhand crosscourt (shallow)","False","False","True","0.3","0.7","True","False","nejasna situacija kod prvog servisa. Servis deluje da je u polju ali se prekida igra I ponovo servira. Stavljam da je prvi servis out.","468.00000000000006","502.00000000000006","34","0","15","0","0","0","0","nan","nan","nan","nan","nan","oc_000","nan","1st serve to body, fault (long)","2nd serve to body","oc_000","nan","nan","nan","11","False","False","True","nan","nan","nan","nan","es_000","nan","adv","00:07:48","00:08:01","nan","nan","nan","00:08:22","2025-09-27","R16","","-","Hard","-","3","Little Mo Nationals","B11","Austin, Texas","https://vimeo.com/1123010031/d2b717e0e1","R","R","M","6-3, 6-4"
"LMN2025_012","oc_000","es_000","Owen Corey","Eli Stein","oc_000","0-0","0-0","0-30","1st serve to body; forehand crosscourt (deep); backhand crosscourt (deep); backhand crosscourt (long), unforced error. (4-shot rally)","Eli Stein lost the point on the 1st serve (to body) with a backhand error (4-shot rally)","backhand crosscourt (deep)","forehand crosscourt (deep); backhand crosscourt (long), unforced error.","False","False","True","0.4","0.6","True","False","","527.0000000000001","536.0","9","0","30","0","0","0","0","nan","nan","nan","nan","nan","nan","es_000","1st serve to body","","es_000","nan","nan","nan","4","True","False","False","nan","nan","nan","nan","oc_000","oc_000","deuce","00:08:47","nan","nan","nan","nan","00:08:56","2025-09-27","R16","","-","Hard","-","3","Little Mo Nationals","B11","Austin, Texas","https://vimeo.com/1123010031/d2b717e0e1","R","R","M","6-3, 6-4"
"LMN2025_012","oc_000","es_000","Owen Corey","Eli Stein","oc_000","0-0","0-0","15-30","1st serve to body, fault (net). 2nd serve to body; backhand crosscourt (shallow); backhand crosscourt (deep); backhand crosscourt (deep); backhand crosscourt (long), unforced error. (5-shot rally)","Owen Corey lost the point on the 2nd serve (to body) with a backhand error (5-shot rally)","backhand crosscourt (deep); backhand crosscourt (long), unforced error.","backhand crosscourt (shallow); backhand crosscourt (deep)","False","False","True","0.3","0.7","True","False","","550.0","581.0","31","15","30","0","0","0","0","nan","nan","nan","nan","nan","nan","oc_000","1st serve to body, fault (net)","2nd serve to body","oc_000","nan","nan","nan","5","False","True","False","nan","nan","nan","nan","es_000","oc_000","adv","00:09:10","00:09:30","nan","nan","nan","00:09:41","2025-09-27","R16","","-","Hard","-","3","Little Mo Nationals","B11","Austin, Texas","https://vimeo.com/1123010031/d2b717e0e1","R","R","M","6-3, 6-4"
"LMN2025_012","oc_000","es_000","Owen Corey","Eli Stein","oc_000","0-0","0-0","15-40","1st serve to body, fault (net). 2nd serve to body; forehand crosscourt (deep); forehand down the middle (deep); backhand crosscourt (shallow); backhand down the line (deep); backhand inside-out (deep); forehand down the middle (deep); forehand crosscourt (deep); forehand crosscourt (deep); forehand down the line (deep), winner. (10-shot rally)","Eli Stein won the point on the 2nd serve (to body) with a forehand winner (10-shot rally)","forehand down the middle (deep); backhand down the line (deep); forehand down the middle (deep); forehand crosscourt (deep)","forehand crosscourt (deep); backhand crosscourt (shallow); backhand inside-out (deep); forehand crosscourt (deep); forehand down the line (deep), winner.","False","False","True","0.2","0.8","True","False","","611.0","644.9999999999999","34","15","40","0","0","0","0","nan","nan","nan","nan","es_000","nan","nan","1st serve to body, fault (net)","2nd serve to body","nan","nan","es_000","nan","10","False","False","True","es_000","nan","nan","nan","es_000","oc_000","deuce","00:10:11","00:10:26","nan","nan","nan","00:10:44","2025-09-27","R16","","-","Hard","-","3","Little Mo Nationals","B11","Austin, Texas","https://vimeo.com/1123010031/d2b717e0e1","R","R","M","6-3, 6-4"
"LMN2025_012","oc_000","es_000","Owen Corey","Eli Stein","es_000","0-0","0-1","0-0","1st serve to body; backhand inside-in (shallow); backhand slice/chip crosscourt (shallow); backhand slice/chip crosscourt (deep); backhand crosscourt (deep); forehand down the middle (long), unforced error. (6-shot rally)","Owen Corey lost the point on the 1st serve (to body) with a forehand error (6-shot rally)","backhand inside-in (shallow); backhand slice/chip crosscourt (deep); forehand down the middle (long), unforced error.","backhand slice/chip crosscourt (shallow); backhand crosscourt (deep)","False","False","False","0.2","0.8","True","False","","731.0","743.0","12","0","0","0","1","0","0","nan","nan","nan","nan","nan","oc_000","nan","1st serve to body","","oc_000","nan","nan","nan","6","False","True","False","nan","nan","nan","nan","es_000","nan","deuce","00:12:11","nan","nan","nan","nan","00:12:23","2025-09-27","R16","","-","Hard","-","3","Little Mo Nationals","B11","Austin, Texas","https://vimeo.com/1123010031/d2b717e0e1","R","R","M","6-3, 6-4"
"LMN2025_012","oc_000","es_000","Owen Corey","Eli Stein","es_000","0-0","0-1","15-0","1st serve down the T, fault (net). 2nd serve to body; backhand crosscourt (deep); backhand crosscourt (deep); backhand crosscourt (deep); forehand inside-out (very deep); unknown shot inside-out (very deep); forehand down the middle (deep); backhand down the middle (very deep); forehand inside-out (very deep); unknown shot inside-in (very deep); forehand down the line (long), unforced error. (11-shot rally)","Eli Stein lost the point on the 2nd serve (to body) with a forehand error (11-shot rally)","backhand crosscourt (deep); backhand crosscourt (deep); unknown shot inside-out (very deep); backhand down the middle (very deep); unknown shot inside-in (very deep)","backhand crosscourt (deep); forehand inside-out (very deep); forehand down the middle (deep); forehand inside-out (very deep); forehand down the line (long), unforced error.","False","False","True","0.4","0.6","True","False","","758.0000000000001","815.0","57","0","15","0","1","0","0","nan","nan","nan","nan","nan","es_000","nan","1st serve down the T, fault (net)","2nd serve to body","es_000","nan","nan","nan","11","False","False","True","nan","nan","nan","nan","oc_000","nan","adv","00:12:38","00:12:52","00:13:05","nan","nan","00:13:35","2025-09-27","R16","","-","Hard","-","3","Little Mo Nationals","B11","Austin, Texas","https://vimeo.com/1123010031/d2b717e0e1","R","R","M","6-3, 6-4"
"LMN2025_012","oc_000","es_000","Owen Corey","Eli Stein","es_000","0-0","0-1","15-15","1st serve down the T; backhand inside-out (deep) (wide), forced error. (2-shot rally)","Owen Corey lost the point on the 1st serve (down the T) with a backhand error (2-shot rally)","backhand inside-out (deep) (wide), forced error.","","False","False","False","0.2","0.8","True","False","","833.9999999999999","840.0","6","15","15","0","1","0","0","nan","nan","nan","nan","nan","nan","oc_000","1st serve down the T","","oc_000","nan","nan","nan","2","True","False","False","nan","nan","nan","nan","es_000","nan","deuce","00:13:53","nan","nan","nan","nan","00:14:00","2025-09-27","R16","","-","Hard","-","3","Little Mo Nationals","B11","Austin, Texas","https://vimeo.com/1123010031/d2b717e0e1","R","R","M","6-3, 6-4"
"LMN2025_012","oc_000","es_000","Owen Corey","Eli Stein","es_000","0-0","0-1","30-15","1st serve down the T, fault (net). 2nd serve wide, fault (long), double fault. (1-shot rally)","Eli Stein lost the point with a double fault.","","","False","False","False","0.4","0.6","True","False","","859.0","876.9999999999999","18","15","30","0","1","0","0","nan","nan","es_000","nan","nan","nan","nan","1st serve down the T, fault (net)","2nd serve wide, fault (long)","es_000","nan","nan","nan","1","True","False","False","nan","nan","nan","nan","oc_000","nan","adv","00:14:19","00:14:32","nan","nan","nan","00:14:36","2025-09-27","R16","","-","Hard","-","3","Little Mo Nationals","B11","Austin, Texas","https://vimeo.com/1123010031/d2b717e0e1","R","R","M","6-3, 6-4"
"LMN2025_012","oc_000","es_000","Owen Corey","Eli Stein","es_000","0-0","0-1","30-30","1st serve to body, fault (net). 2nd serve to body; backhand inside-out (deep); forehand down the middle (deep); forehand down the middle (deep); forehand inside-out (deep); backhand crosscourt (deep); backhand crosscourt (deep); backhand crosscourt (shallow); backhand slice/chip down the middle (very deep); forehand down the middle (deep); forehand down the middle (deep); forehand down the middle (deep); forehand down the middle (net), unforced error. (13-shot rally)","Eli Stein lost the point on the 2nd serve (to body) with a forehand error (13-shot rally)","backhand inside-out (deep); forehand down the middle (deep); backhand crosscourt (deep); backhand crosscourt (shallow); forehand down the middle (deep); forehand down the middle (deep)","forehand down the middle (deep); forehand inside-out (deep); backhand crosscourt (deep); backhand slice/chip down the middle (very deep); forehand down the middle (deep); forehand down the middle (net), unforced error.","False","False","True","0.6","0.4","True","False","","892.9999999999999","927.9999999999999","35","30","30","0","1","0","0","nan","nan","nan","nan","nan","es_000","nan","1st serve to body, fault (net)","2nd serve to body","es_000","nan","nan","nan","13","False","False","True","nan","nan","nan","nan","oc_000","es_000","deuce","00:14:52","00:15:06","nan","nan","nan","00:15:27","2025-09-27","R16","","-","Hard","-","3","Little Mo Nationals","B11","Austin, Texas","https://vimeo.com/1123010031/d2b717e0e1","R","R","M","6-3, 6-4"
